"id","type","age","postal_code","suspicious_label"
1,"private",12,70962,0
2,"private",11,63657,0
3,"private",4,62037,0
4,"private",9,11728,0
5,"private",15,63244,0
6,"private",16,11175,NA
7,"private",18,20249,0
8,"private",12,40243,0
9,"private",14,72979,0
10,"private",24,58799,NA
11,"private",14,65572,1
12,"private",20,21499,0
13,"private",23,21722,0
14,"private",15,41860,1
15,"private",16,22601,0
16,"private",15,21972,NA
17,"private",20,75635,NA
18,"private",24,39899,0
19,"private",25,22651,NA
20,"private",27,75833,0
21,"private",19,39856,0
22,"private",26,63471,NA
23,"private",25,75650,NA
24,"private",31,58630,NA
25,"private",22,39116,1
26,"private",30,35384,NA
27,"private",31,97745,0
28,"private",28,10458,NA
29,"private",31,90947,0
30,"private",35,60607,0
31,"private",39,80918,0
32,"private",41,25143,0
33,"private",46,30938,0
34,"private",43,35619,0
35,"private",51,50572,0
36,"private",29,30907,0
37,"private",44,65613,0
38,"private",50,21723,NA
39,"private",41,39623,0
40,"private",46,50012,NA
41,"private",39,20435,NA
42,"private",42,20834,0
43,"private",40,35163,NA
44,"private",47,58858,NA
45,"private",22,35059,1
46,"private",34,30200,0
47,"private",51,63439,0
48,"private",27,11978,NA
49,"private",46,85493,0
50,"private",60,50185,0
51,"private",21,40512,NA
52,"private",62,60328,0
53,"private",30,80786,NA
54,"private",59,25547,0
55,"private",58,62636,0
56,"private",67,63759,0
57,"private",66,63798,0
58,"private",51,39425,0
59,"private",38,40786,0
60,"private",27,62389,1
61,"private",55,20216,0
62,"private",75,25275,0
63,"private",31,85355,1
64,"private",65,25180,0
65,"private",76,72232,0
66,"private",77,97682,0
67,"private",32,63442,NA
68,"private",35,25224,1
69,"private",75,30726,0
70,"private",71,35854,0
71,"private",70,85475,0
72,"private",76,40260,0
73,"private",71,50994,NA
74,"private",89,65153,0
75,"private",76,75041,0
76,"private",75,70779,NA
77,"private",73,25851,0
78,"private",25,20403,NA
79,"private",68,21989,0
80,"private",25,63818,1
81,"private",29,21393,1
82,"private",64,22308,0
83,"private",73,41842,NA
84,"private",86,75125,0
85,"private",72,97435,0
86,"private",78,80088,0
87,"private",7,22443,0
88,"private",15,90718,0
89,"private",14,97190,0
90,"private",12,21680,0
91,"private",12,90381,0
92,"private",10,85624,0
93,"private",14,63629,0
94,"private",22,40360,0
95,"private",13,50708,0
96,"private",26,63749,0
97,"private",23,21530,0
98,"private",25,75360,1
99,"private",26,22603,0
100,"private",29,40021,1
101,"private",27,55416,0
102,"private",23,60202,0
103,"private",17,39619,0
104,"private",32,41490,0
105,"private",24,55498,NA
106,"private",24,20254,0
107,"private",27,97242,1
108,"private",23,58837,0
109,"private",29,25332,0
110,"private",46,25151,1
111,"private",27,20911,0
112,"private",32,41790,0
113,"private",43,60828,1
114,"private",33,41412,0
115,"private",35,10387,0
116,"private",48,63588,1
117,"private",40,35216,NA
118,"private",47,41019,1
119,"private",36,85732,1
120,"private",31,25802,0
121,"private",33,75088,0
122,"private",12,21850,NA
123,"private",32,39443,0
124,"private",37,10614,0
125,"private",40,41979,NA
126,"private",47,30683,0
127,"private",35,62099,0
128,"private",20,70220,1
129,"private",41,21848,0
130,"private",51,72300,0
131,"private",21,35902,NA
132,"private",41,97910,0
133,"private",40,60417,0
134,"private",47,22634,0
135,"private",53,55191,NA
136,"private",52,55342,0
137,"private",45,22221,0
138,"private",48,55609,0
139,"private",41,65096,0
140,"private",64,70253,NA
141,"private",41,40476,0
142,"private",49,75272,0
143,"private",50,72861,0
144,"private",65,20301,0
145,"private",65,22260,0
146,"private",71,75624,NA
147,"private",60,63138,0
148,"private",72,90491,NA
149,"private",57,85749,0
150,"private",59,50718,0
151,"private",25,62039,NA
152,"private",17,41422,1
153,"private",66,30430,0
154,"private",57,65397,NA
155,"private",73,58882,0
156,"private",50,25217,0
157,"private",72,20665,0
158,"private",59,72777,NA
159,"private",22,35851,1
160,"private",68,80036,NA
161,"private",79,60594,0
162,"private",73,85407,NA
163,"private",72,85343,NA
164,"private",69,70647,NA
165,"private",59,65619,NA
166,"private",72,20861,0
167,"private",74,70039,NA
168,"private",77,50314,0
169,"private",90,20080,0
170,"private",78,40185,0
171,"private",86,22853,0
172,"private",9,41792,NA
173,"private",13,40042,NA
174,"private",12,39234,0
175,"private",16,20624,0
176,"private",8,25670,NA
177,"private",9,90230,0
178,"private",25,25508,1
179,"private",12,70020,0
180,"private",15,39551,0
181,"private",13,30889,NA
182,"private",21,10301,0
183,"private",14,20199,0
184,"private",16,10635,0
185,"private",25,50286,1
186,"private",25,10298,0
187,"private",22,25094,0
188,"private",19,65552,0
189,"private",33,25966,0
190,"private",27,85919,0
191,"private",26,39980,0
192,"private",26,25951,0
193,"private",29,62760,0
194,"private",26,21248,0
195,"private",21,55302,NA
196,"private",23,75829,NA
197,"private",38,70782,NA
198,"private",32,65789,NA
199,"private",32,97795,0
200,"private",32,35085,0
201,"private",28,11006,1
202,"private",33,62510,1
203,"private",40,30927,NA
204,"private",42,20441,NA
205,"private",35,65096,NA
206,"private",37,11808,NA
207,"private",37,75822,0
208,"private",49,90022,0
209,"private",14,90121,NA
210,"private",39,10703,0
211,"private",40,90512,0
212,"private",41,22637,0
213,"private",47,90954,0
214,"private",49,55420,0
215,"private",45,80640,0
216,"private",70,55997,0
217,"private",66,80862,NA
218,"private",28,40151,1
219,"private",58,35029,0
220,"private",44,70574,NA
221,"private",56,75036,0
222,"private",60,41153,NA
223,"private",49,55375,0
224,"private",34,62597,1
225,"private",47,35008,NA
226,"private",51,72354,0
227,"private",32,80176,1
228,"private",21,58627,NA
229,"private",52,22240,0
230,"private",62,75719,0
231,"private",62,60421,0
232,"private",60,90419,NA
233,"private",62,55059,0
234,"private",73,41314,0
235,"private",30,39700,1
236,"private",53,10052,NA
237,"private",26,72629,1
238,"private",71,70201,0
239,"private",37,58479,NA
240,"private",69,11724,0
241,"private",64,25680,0
242,"private",81,55475,NA
243,"private",72,58951,0
244,"private",35,62085,NA
245,"private",34,40680,1
246,"private",44,35957,1
247,"private",48,40022,1
248,"private",70,25354,0
249,"private",63,40583,0
250,"private",75,60759,NA
251,"private",92,22761,0
252,"private",19,22585,NA
253,"private",65,63851,0
254,"private",72,72092,0
255,"private",74,62911,0
256,"private",73,60131,NA
257,"private",70,30030,0
258,"private",69,62215,0
259,"private",71,40467,NA
260,"private",76,11271,NA
261,"private",14,40934,NA
262,"private",13,21058,NA
263,"private",17,97408,0
264,"private",23,60776,1
265,"private",13,75391,0
266,"private",11,21984,0
267,"private",14,80895,0
268,"private",11,30612,0
269,"private",13,65191,0
270,"private",16,41943,NA
271,"private",19,21391,NA
272,"private",24,22937,1
273,"private",21,40994,1
274,"private",18,20071,NA
275,"private",23,72566,0
276,"private",31,10729,0
277,"private",22,25821,NA
278,"private",19,41593,0
279,"private",16,10318,NA
280,"private",22,75532,0
281,"private",31,41841,0
282,"private",27,80750,0
283,"private",25,10218,1
284,"private",34,55692,0
285,"private",24,25515,0
286,"private",36,40678,0
287,"private",18,90048,NA
288,"private",37,97068,0
289,"private",32,72757,NA
290,"private",37,21722,0
291,"private",39,65506,NA
292,"private",33,21007,1
293,"private",39,58163,0
294,"private",23,21651,1
295,"private",35,63059,NA
296,"private",35,63143,NA
297,"private",44,41299,0
298,"private",43,63778,NA
299,"private",51,60561,0
300,"private",38,80288,0
301,"private",47,21356,0
302,"private",42,85691,0
303,"private",45,97846,NA
304,"private",53,41205,NA
305,"private",46,50493,0
306,"private",43,25939,NA
307,"private",53,55270,NA
308,"private",25,70375,1
309,"private",45,11282,NA
310,"private",50,40574,0
311,"private",50,22576,NA
312,"private",57,40401,NA
313,"private",64,70850,0
314,"private",23,90780,NA
315,"private",49,58462,NA
316,"private",48,55560,NA
317,"private",60,90545,0
318,"private",22,97470,NA
319,"private",25,35544,1
320,"private",55,97772,0
321,"private",60,35803,0
322,"private",64,65894,0
323,"private",27,80841,1
324,"private",63,97714,0
325,"private",70,22482,0
326,"private",30,50248,1
327,"private",72,90573,NA
328,"private",61,97269,NA
329,"private",72,11246,0
330,"private",25,21787,1
331,"private",85,11550,0
332,"private",65,20123,NA
333,"private",66,11158,0
334,"private",24,63288,1
335,"private",78,50474,0
336,"private",73,80448,0
337,"private",28,85908,1
338,"private",35,85300,1
339,"private",60,41753,NA
340,"private",83,85437,0
341,"private",82,65504,0
342,"private",89,65989,0
343,"private",88,10513,NA
344,"private",63,35731,NA
345,"private",97,20017,0
346,"private",91,60829,NA
347,"private",74,63610,0
348,"private",30,63126,NA
349,"private",70,65399,0
350,"private",10,60529,0
351,"private",10,70788,0
352,"private",15,21790,0
353,"private",23,97605,NA
354,"private",17,60686,NA
355,"private",34,55426,1
356,"private",39,97763,1
357,"private",9,11233,0
358,"private",41,80087,1
359,"private",15,20617,NA
360,"private",13,90478,0
361,"private",13,62855,0
362,"private",18,62505,NA
363,"private",33,22254,0
364,"private",20,72421,0
365,"private",23,60724,NA
366,"private",25,25088,0
367,"private",41,35399,1
368,"private",24,25047,NA
369,"private",23,22761,NA
370,"private",24,65732,0
371,"private",21,72328,0
372,"private",25,25317,NA
373,"private",20,20702,1
374,"private",33,63395,0
375,"private",10,39020,1
376,"private",14,10480,1
377,"private",32,75165,0
378,"private",31,72539,0
379,"private",31,10478,0
380,"private",29,75049,0
381,"private",27,72888,1
382,"private",15,20770,1
383,"private",36,50042,0
384,"private",33,60108,0
385,"private",26,75438,1
386,"private",34,20624,0
387,"private",36,63518,0
388,"private",35,21863,0
389,"private",33,50918,0
390,"private",42,97223,NA
391,"private",37,62216,0
392,"private",30,25349,0
393,"private",18,22752,NA
394,"private",40,63352,0
395,"private",19,85563,1
396,"private",44,39782,NA
397,"private",25,10500,1
398,"private",45,97818,NA
399,"private",40,65296,0
400,"private",24,75577,1
401,"private",42,85570,0
402,"private",44,11845,0
403,"private",37,90285,1
404,"private",49,25427,NA
405,"private",24,55592,NA
406,"private",53,65610,NA
407,"private",49,75368,NA
408,"private",34,11405,1
409,"private",39,41053,0
410,"private",28,25593,1
411,"private",40,58950,1
412,"private",51,80384,NA
413,"private",32,85711,1
414,"private",54,20614,NA
415,"private",54,55733,NA
416,"private",53,70033,0
417,"private",49,20028,0
418,"private",60,30166,0
419,"private",54,20188,0
420,"private",68,11353,NA
421,"private",55,90820,0
422,"private",35,60527,1
423,"private",53,50840,0
424,"private",68,40233,NA
425,"private",54,39304,0
426,"private",63,30034,0
