"id","tx","date"
2,79.85,"2023-10-25"
2,435.24,"2023-10-25"
3,119.41,"2023-10-25"
4,148.98,"2023-10-25"
4,302.22,"2023-10-25"
5,90.54,"2023-10-25"
5,181.03,"2023-10-25"
5,805.76,"2023-10-25"
7,109.39,"2023-10-25"
8,47.93,"2023-10-25"
8,314.79,"2023-10-25"
9,71.22,"2023-10-25"
10,120.98,"2023-10-25"
11,2560.36,"2023-10-25"
11,2444.11,"2023-10-25"
11,5011.82,"2023-10-25"
11,781.1,"2023-10-25"
12,124.55,"2023-10-25"
13,89.24,"2023-10-25"
14,1042.2,"2023-10-25"
16,14566.04,"2023-10-25"
16,1874.41,"2023-10-25"
16,1937.76,"2023-10-25"
19,302.83,"2023-10-25"
20,46.79,"2023-10-25"
20,409.91,"2023-10-25"
20,149,"2023-10-25"
21,75.9,"2023-10-25"
21,223.34,"2023-10-25"
22,133.92,"2023-10-25"
23,132.19,"2023-10-25"
24,138.85,"2023-10-25"
24,731.76,"2023-10-25"
24,89.6,"2023-10-25"
24,404.44,"2023-10-25"
25,1363.68,"2023-10-25"
26,114.52,"2023-10-25"
27,98.17,"2023-10-25"
28,115.52,"2023-10-25"
31,131.27,"2023-10-25"
31,514.81,"2023-10-25"
31,79.19,"2023-10-25"
32,826.97,"2023-10-25"
32,134.78,"2023-10-25"
33,98.61,"2023-10-25"
33,93.4,"2023-10-25"
34,227.86,"2023-10-25"
34,1084.28,"2023-10-25"
36,144.73,"2023-10-25"
37,160.5,"2023-10-25"
37,216.82,"2023-10-25"
42,171.51,"2023-10-25"
43,72.72,"2023-10-25"
44,956.43,"2023-10-25"
48,341.1,"2023-10-25"
50,61.06,"2023-10-25"
50,107.4,"2023-10-25"
52,123.81,"2023-10-25"
53,3463.04,"2023-10-25"
53,647.26,"2023-10-25"
55,134.5,"2023-10-25"
58,127.36,"2023-10-25"
58,882.99,"2023-10-25"
59,707.69,"2023-10-25"
59,57.67,"2023-10-25"
60,1921.03,"2023-10-25"
61,46.94,"2023-10-25"
63,514.19,"2023-10-25"
65,85.85,"2023-10-25"
65,65.82,"2023-10-25"
66,213.59,"2023-10-25"
67,937.64,"2023-10-25"
67,1741.94,"2023-10-25"
68,4167.54,"2023-10-25"
68,3930.6,"2023-10-25"
69,24.05,"2023-10-25"
69,147.98,"2023-10-25"
70,519.7,"2023-10-25"
71,505.75,"2023-10-25"
